星际牛仔 Cowboy Bebop (1998),导演： 渡边信一郎主演： 山寺宏一		 石塚运升 2071 年，人类已经遍布整个太阳系。面对日益严重的犯罪活动，政府也无能为力，于是在电视上悬赏捉拿各种罪犯。这造就了一种新..
周六夜现场 Saturday Night Live (1975),导演： 里昂·艾查索主演： 弗莱德·阿米森		 比尔·哈德尔 这是一档以短小的讽刺话题、电视广告的模仿、一个现场嘉宾乐队和一个流行文化名人的嘉宾主持为特色的深夜喜剧类节目。
银魂’ 銀魂’ (2011),导演： 高松信司主演： 杉田智和		 阪口大助 
"是，大臣 Yes, Minister (1980)","导演： Stuart Allen主演： Paul Eddington		 奈杰尔·霍桑 《是，大臣》（Yes Minister，后来续集名为Yes, Prime Minister）是一套于1980年代播出的英国电视处境喜剧。这套剧集走英式幽.."
流言终结者 MythBusters (2003),导演： Alice Dallow主演： Jamie Hyneman		 Adam Savage 每个人都想解开都市流言的真假之谜，而这正是《流言终结者》大受欢迎的原因。在每一集节目中，亚当和杰米都会运用科学实验、特..
我们这一家  (2002),主演： 柚木凉香 
生活大爆炸 The Big Bang Theory (2007),导演： 马克·森卓斯基主演： 吉姆·帕森斯		 卡蕾·库科 Leonard和Sheldon是一对合起来智商超过360的疯狂科学家宅男。直到有一天，隔壁搬来一位美貌性感的女孩Penny……
豪斯医生 House M.D. (2004),导演： Deran Sarafian主演： 休·劳瑞		 罗伯特·肖恩·莱纳德 态度无礼，表情凶恶，跛足拄着一根藤棍，永远是牛仔裤运动鞋的便装打扮而不是整洁的白大褂，普林斯顿大学附属医院的格雷戈..
东京爱情故事 Tokyo Love Story (1991),导演： 永山耕三主演： 织田裕二		 铃木保奈美 抱着不安而由爱媛到东京的完治，在机场莉香以令人回复冲动的笑颜迎接完治，在二人工作同时，莉香亦开始爱上了完治，但完治心中..
同志亦凡人 Queer as Folk (2000),导演： Michael DeCarlo主演： 葛尔·哈罗德		 兰迪·哈里森 《同志亦凡人》，美国Showtime有线收费电视网拍摄的一部电视连续剧。2000年首播，共5季，2005年播完，拥有极高的收视率。该片..
老友记 Friends (1994),导演： 凯文·布赖特主演： 詹妮弗·安妮斯顿		 大卫·休默 故事主要描述了住在纽约的六个好朋友从相识到后来一起经历了9年的生活中发生的一系列的故事，朋友间的生活、友谊、麻烦、欢笑..
海贼王 One Piece (1999),导演： 宇田钢之助主演： 田中真弓		 中井和哉 故事围绕着梦想和同伴的友谊两个主题展开。整个作品拥有自己庞大的世界观。
野外求生 Man vs. Wild (2006),导演： Mike Warner主演： 贝尔·格里尔斯 
人类星球 Human Planet (2011),导演： Nicolas Brown主演： 约翰·赫特 
猫和老鼠 Tom and Jerry (1965),导演： 特克斯·艾弗里主演： 特克斯·艾弗里		 约瑟夫·巴伯拉 猫和老鼠（英文：Tom and Jerry，台湾电视公司1970年代播出时曾经称作“妙妙妙”，华纳家庭娱乐在台湾发行的DVD称为“汤姆猫与..
地球脉动 Planet Earth (2006),导演： 艾雷斯泰·法瑟吉尔主演： 大卫·艾登堡		 西格妮·韦弗 《地球脉动》由得过多项大奖的《蓝色星球》原班人马拍摄制作，是对地球空前绝后的礼赞，拥抱地球上不可思议的美景和自然生物。..
兄弟连 Band of Brothers (2001),导演： 大卫·弗兰科尔主演： 戴米恩·刘易斯		 朗·里维斯顿 该剧描写美国101空军部队的一个小支队Easy Company的真实故事，他们参与了盟军空降法国的任务，以及其后整个欧洲的战事。1942..
成长的烦恼 Growing Pains (1985),导演： 安迪·卡迪夫主演： 乔安娜·科恩斯		 特里茜·古德 《成长的烦恼》讲述的是关于居住在美国郊区（也许用“城市远郊”这个词更恰当）的西维尔（Seaver）一家的故事。他们生活在纽约..
灌篮高手 Slam Dunk (1993),导演： 坂本信人主演： 草尾毅		 绿川光 《灌篮高手》是一部围绕青少年篮球运动的日本幽默卡通巨片。 该片卡通人物形象幽默、语言风趣，是一部不可多得的卡通电视精品。
银魂 Gintama (2006),导演： 高松信司主演： 阪口大助		 钉宫理惠 “银魂”是1919年劳斯莱斯推出的一种车的型号。《银魂》是《周刊少年JUMP》连载中的人气漫画。它的故事背景取自江户。从宇宙来..
走向共和  (2003),导演： 张黎主演： 吕中		 孙淳 本剧是中国影视作品第一次以史诗般的艺术笔角全景式地呈现了中华民族推翻帝制、走向共和这一波澜壮阔的艰难历程。
威尔与格蕾丝 Will and Grace (1998),"导演： 詹姆斯·布罗斯主演： 艾瑞克·麦柯马克		 黛博拉·梅辛 《威尔与格蕾丝》""是备受欢迎的艾美奖获奖情景喜剧，其主要讲述了四个好朋友的生活：Will Truman，同性恋律师；Will的好朋友Gr.."
猎人 Hunter x Hunter (1999),导演： 古桥一浩主演： 乡田穗积		 甲斐田幸 集冒险、勇敢、斗争、残暴、亲情、友情、爱情等多种元素于一身。它虚构了一个猎人的世界，在这个世界里，充斥着各色的狩猎者与..
夏目友人帐 叁 夏目友人帳 参 (2011),导演： 大森贵弘主演： 神谷浩史		 井上和彦 夏目贵志从祖母夏目玲子的遗物中得到了那些契约书所做成的“友人帐”，他做出了一个重要的决定：将玲子夺过来的妖怪们的名字一..
母亲 Mother (2010),导演： 水田伸生主演： 松雪泰子		 山本耕史 一边是冷静孤独的女教师，一边是遭受着家庭暴力的女孩，两个毫无血缘关系的人为了找寻新的生活，成为“母女”，踏上了位置的旅..
冤家成双 Coupling (2000),导演： Martin Dennis主演： 杰克·达文波特		 吉娜·贝尔曼 故事延续着第一季六位主人公的生活。英国式的对白，英国式的幽默。该剧荣获2003年英国喜剧大奖最佳电视喜剧。
舞林争霸 So You Think You Can Dance (2005),导演： 奈吉尔·莱斯格主演： 奈吉尔·莱斯格		 卡特·迪莉 《舞林争霸》制作人班底来自《美国偶像》，目的是要寻找美国最受欢迎的舞者。从街头的海选到进入最后的决选，参赛者秀的就是舞..
故园风雨后 Brideshead Revisited (1981),导演： 查理斯·斯特里奇主演： 杰瑞米·艾恩斯		 安东尼·安德鲁斯 11集英国电视连续剧《故园风雨后》（Brideshead Revisited）改编自Evelyn Waugh的同名小说，由Granada电视公司出品，1981年10..
小查和寇弟的顶级生活 The Suite Life of Zack and Cody (2005),导演： Henry Chan主演： 布兰达·宋		 阿什丽·提斯代尔 《小查和寇弟的顶级生活》是Disney从2005年3月18号开始在Disney频道播出的电视影集。该剧与Disney热播剧《汉娜.孟塔娜》一样非..
 Clannad: After Story (2008),主演： 中原麻衣		 中村悠一 作为日本著名游戏品牌Key最著名的四季四部曲之一的《CLANNAD》第二部作品。　　在某个小镇，主角冈崎朋也因为家庭的因素成为不..
权力的游戏 Game of Thrones (2011),导演： 艾伦·泰勒主演： 基特·哈灵顿		 艾米莉亚·克拉克 故事发生在一块虚构的大陆——维斯特洛上，剧情主要讲述北境之王Stark家族的领主Eddard Star受国王邀请进入议会，成为国王的右..
邪恶力量 Supernatural (2005),导演： 罗伯特·辛格主演： 简森·阿克斯		 贾德·帕达里克 Sam是一名刚刚进入斯坦福大学的研究生，他与一直不和的哥哥Dean无意遇到了很多在北美民间传说和都市怪谈中都没听说过的幽灵和..
傲慢与偏见 Pride and Prejudice (1995),导演： Simon Langton主演： 科林·费斯		 詹妮弗·艾莉 温柔的伊莉莎白是班尼家最有才气的五千金之一，却因第一印象对英俊多金的达西先生执有偏见。然而习惯将自己的情感包裹在傲慢外..
西游记 Pilgrimage to the West (1986),导演： 杨洁主演： 六小龄童		 马德华 唐朝僧人唐僧带领徒弟孙悟空、猪八戒、沙和尚到西天取经，师徒四人一路遭遇九九八十一难，最后终于取得真经修成正果。
犯罪心理 Criminal Minds (2005),导演： Glenn Kershaw主演： 托马斯·吉布森		 谢默·摩尔 讲述FBI心理学特工一步步逼近罪犯心灵深处的犯罪剧集，环环相扣。
新世纪福音战士 Neon Genesis Evangelion (1995),导演： 庵野秀明主演： 滕奎兴		 绪方惠美 公元2000年，南极发生了大爆炸，冰封的大陆在一瞬间融化，引起世界海洋水位上涨甚至海啸，淹没了地球上的很大一部分陆地，随后..
摩登家庭 Modern Family (2009),导演： Michael Spiller主演： 泰·布利尔		 朱丽·鲍温 《摩登家庭》瞄准的是三对各有不同的美国家庭：一对普通父母与三个孩子、一对同性恋夫夫从越南领养了养女组成三口之家，一个60..
无法阻挡的highkick Trouble-free High Kick (2006),导演： 金秉旭主演： 罗文熙		 郑俊河 顺载一家人为了庆祝俊儿过百天，决定照张全家福。不过，顺载这家人做什么事都不那么顺利！　　俊儿撒了一泼尿，顺载和文姬争着..
虫师 蟲師 (2005),导演： Hiroshi Nagahama主演： Yûto Nakano		 上田祐司 另一个世界，住着一群与常见动植物孑然不同的生物。远古以来，人们敬畏地称它们为虫。当虫的世界和人的世界重合时，虫师银古便..
犯罪现场调查 C.S.I. (2000),导演： Kenneth Fink主演： 特德·丹森		 乔治·艾德斯 围绕在形同长辈的组长格里森周围的，是由几个侦探专家组成的拉斯维加斯犯罪现场调查小组，他们的主要日常任务是研究犯罪现场，..
哆啦A梦 Doraemon (1979),导演： 楠叶宏三主演： 青木和代		 千千松幸子 故事是从一个小学4年级学生——大雄开始的。大雄并不是个非常优秀的学生，像不少小孩子一样，他在学校里成绩平平，也没有其他..
白色巨塔 The Ivory Tower (2003),导演： 西谷弘主演： 唐泽寿明		 江口洋介 阔别11年再度携手合作的唐泽寿明与江口洋介，在剧中分别诠释追求权势、野心勃勃的天才外科医－财前五郎，以及尊重生命、热心研..
棒球英豪 Touch (1985),导演： 杉井仪三郎主演： 秋元羊介		 千叶繁 《棒球英豪》是安达充最为著名、最为成功的作品之一，1981年36号～1986年50号连载于日本的《周刊少年SUNDAY》，1987年结束，单..
福尔摩斯探案全集 The Adventures of Sherlock Holmes (1984),导演： Alan Grint主演： 杰瑞米·布雷特		 大卫·布克 天文学知识空白、文学知识空白、哲学知识空白、政治学不及格--这就是歇洛克·福尔摩斯。可是，这又有什么关系？对这位世界上最..
糊涂侦探 Get Smart (1965),导演： Norman Abbott主演： 唐·亚当斯		 芭芭拉·费尔顿 《糊涂侦探》，是由喜剧大师梅尔.布鲁克斯编剧的电视剧集，在60年代仿效当时流行的007系列电影改编的间谍喜剧。
"是，首相 Yes, Prime Minister (1986)",导演： 西德尼·洛特比主演： Paul Eddington		 奈杰尔·霍桑 在野党影子内阁成员吉姆在帮助本党大选获胜之后得到行政事务部部长的职务，从此开始面对以部秘书亨普利为首的公务员体系。
极速前进 The Amazing Race (2001),导演： Hans van Riet主演： 菲尔·基欧汉		 Amber Brkich 
马尔柯姆的一家 Malcolm in the Middle (2000),导演： 托德·霍兰德主演： 弗朗基·穆尼兹		 简·卡兹玛拉克 《马尔柯姆的一家》讲述了一个生于中产阶级家庭的小男孩马金和他的家人的故事。
9局下2出局 9 End 2 Outs (2007),主演： 秀爱		 李廷镇 《9局下2出局》讲述了30多岁的青年男女，在满怀希望走上社会后，遭到背叛，在冷酷的现实下彷徨不定，身心受伤，他们的生活就好..
银河英雄传说 Legend of the Galactic Heroes (1989),导演： 石黑升主演： 玄田哲章		 中田让治 十卷本长篇小说《银河英雄传说》是20世纪80年代中叶由日本作家田中芳树所著的一部以浩瀚银河为舞台展现的壮丽英雄史诗。作品于..
风之花园 Kaze no garden (2008),导演： 石坂理江子主演： 中井贵一		 黑木明纱 在东京的大医院担任麻醉师白鸟患上癌症回到老家。因多年对前妻子不忠，两个孩子早已和他断绝关系。家人之间的羁绊能否化解？
70年代秀 That '70s Show (1998),导演： David Trainer主演： 托弗·戈瑞斯		 米拉·库妮丝 电视剧《70年代秀》(That 70s'show)，是美国FOX电视台从1998年8月23日首播、连续播出了8年的一部幽默情景喜剧。已于2006年5月1..
甜心俏佳人 Ally McBeal (1997),导演： 丹尼斯·杜根主演： 卡莉斯塔·弗洛克哈特		 简·科拉克斯基 主人翁Ally Mcbeal是个神经质的律师，会念书，会打官司，但是就是不太懂人事她是一个好孩子，从小青梅竹马的男友因为实在不能..
绝命毒师 Breaking Bad (2008),导演： 米歇尔·迈凯伦主演： 布莱恩·科兰斯顿		 亚伦·保尔 沃尔特是个平凡的高中化学老师，在这个平凡的岗位上工作了25年。他本可以一直这样平凡下去，直到有一天，一纸绝症诊断彻底改变..
纸牌屋 House of Cards (2013),导演： 詹姆斯·弗雷主演： 凯文·史派西		 罗宾·莱特 剧集讲述美国政治家弗朗西斯和妻子克莱尔的故事，深深挖掘政治阶层人群的方方面面，聚焦在现代的华盛顿特区，那些光鲜背后的贪..
唐顿庄园 Downton Abbey (2010),导演： 布莱恩·派西维尔主演： 休·博内威利		 米歇尔·道克瑞 ITV古装剧剧《唐顿庄园》由曾因《高斯福德庄园》而荣获奥斯卡的金牌编剧Julian Fellowes一手打造，明星云集的演员阵容极其耀眼..
24小时 24 (2001),导演： 强·卡萨主演： 基弗·萨瑟兰		 玛丽·莱恩·莱杰斯库 失去妻子的杰克·鲍尔已经不在反恐小组工作了，他对这份工作也失去了兴趣，与女儿生活刚刚恢复平静，已经入主白宫的大卫&#
IT狂人 The IT Crowd (2006),导演： 格拉汉姆·莱因汉主演： 克里斯·奥多德		 理查德·阿尤阿德 史上最囧，最雷，最脑残，最出乎意料，最不按常理出牌的IT “精英们”登上银屏了。让超擅长收发邮件、单击和双击鼠标的IT女皇J..
辛普森一家 The Simpsons (1989),导演： Matthew Nastuk主演： 南茜·卡特莱特		 雅德丽·史密斯 《辛普森一家》讲述的是美国人辛普森一家的生活，父亲荷马是Springfield核能工厂的安全检查员，总体说来是一个善意的小丑。母..
美丽中国 Wild China (2008),主演： 伯纳德·希尔 《美丽中国》是由中英联合摄制小组拍摄的一部关于中国野生动物和自然风光的系列记录片，其中有些野生动画和风景的镜头从未在银..
续 夏目友人帐 Zoku natsume yûjinchô (2009),导演： 大森贵弘主演： 石田彰		 井上和彦 《夏目友人帐》的动画版故事计述的是一位因为看得见妖怪而被人类疏远的女子夏目玲子，为了打发寂寞的日子，她向妖怪们发起挑战..
降世神通：最后的气宗 Avatar: The Last Airbender (2005),导演： Giancarlo Volpe主演： Zach Tyler		 Dante Basco 《降世神通：最后的气宗》是由美国尼克国际儿童频道热播动漫电视系列片，其故事具有中国传统的神话色彩：气、火、水、土是主宰..
怪物 Monster (2004),导演： 小岛正幸主演： 原康义		 矶部勉 天马贤三被称为天才医生，在西德留学研习医术。因为他卓越的医术而被爱斯勒医院院长和同事赏识，更是被院长千金爱娃所爱慕。就..
加里森敢死队 Garrison's Gorillas (1967),导演： Georg Fenady主演： 朗·哈珀		 西萨尔·达诺瓦 二十六集美国惊险电视系列片。一部越十亿人收看过的电视系列片，高创电视史上的收视率。“加里森敢死队”从战场到屏幕，它是二..
